,bin_trial,split_by,type,samp,subj_idx,response,rt,trial,feedback,upper_hpd,lower_hpd,up_err,low_err,model
0,0,0,observed,0.0,140.4607142857143,0.5098214285714285,1.015719642857143,2.5,0.48392857142857143,0.5098214285714285,0.5098214285714285,0.0,0.0,RLDDM_single_learning
1,0,0,simulated,1.0,7.0,0.5576923076923077,0.6487431587876404,2.5,0.5769230769230769,0.5576923076923077,0.5576923076923077,0.0,0.0,RLDDM_single_learning
2,0,1,observed,0.0,149.26235741444867,0.4781368821292776,0.7632557034220533,2.5,0.5218631178707225,0.4781368821292776,0.4781368821292776,0.0,0.0,RLDDM_single_learning
3,0,1,simulated,1.0,7.0,0.5576923076923077,0.5312239280183704,2.5,0.4807692307692308,0.5576923076923077,0.5576923076923077,0.0,0.0,RLDDM_single_learning
4,1,0,observed,0.0,140.4607142857143,0.45267857142857143,0.8512196428571428,6.5,0.5294642857142857,0.45267857142857143,0.45267857142857143,0.0,0.0,RLDDM_single_learning
5,1,0,simulated,1.0,7.0,0.5961538461538461,0.6268970049416335,6.5,0.5769230769230769,0.5961538461538461,0.5961538461538461,0.0,0.0,RLDDM_single_learning
6,1,1,observed,0.0,149.26235741444867,0.4306083650190114,0.6313108365019011,6.5,0.48574144486692017,0.4306083650190114,0.4306083650190114,0.0,0.0,RLDDM_single_learning
7,1,1,simulated,1.0,7.0,0.6153846153846154,0.7029354664801973,6.5,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.0,0.0,RLDDM_single_learning
8,2,0,observed,0.0,140.4607142857143,0.4714285714285714,0.7819416666666666,10.0,0.5095238095238095,0.4714285714285714,0.4714285714285714,0.0,0.0,RLDDM_single_learning
9,2,0,simulated,1.0,7.0,0.358974358974359,0.6101918767355491,10.0,0.4358974358974359,0.358974358974359,0.358974358974359,0.0,0.0,RLDDM_single_learning
10,2,1,observed,0.0,149.26235741444867,0.41951837769328265,0.6384866920152091,10.0,0.514575411913815,0.41951837769328265,0.41951837769328265,0.0,0.0,RLDDM_single_learning
11,2,1,simulated,1.0,7.0,0.6923076923076923,0.6820380305830628,10.0,0.5641025641025641,0.6923076923076923,0.6923076923076923,0.0,0.0,RLDDM_single_learning
12,3,0,observed,0.0,140.4607142857143,0.44285714285714284,0.7554642857142857,13.5,0.5232142857142857,0.44285714285714284,0.44285714285714284,0.0,0.0,RLDDM_single_learning
13,3,0,simulated,1.0,7.0,0.5384615384615384,0.5490893126336839,13.5,0.5192307692307693,0.5384615384615384,0.5384615384615384,0.0,0.0,RLDDM_single_learning
14,3,1,observed,0.0,149.26235741444867,0.42490494296577946,0.6165114068441065,13.5,0.4762357414448669,0.42490494296577946,0.42490494296577946,0.0,0.0,RLDDM_single_learning
15,3,1,simulated,1.0,7.0,0.5384615384615384,0.7230700818645113,13.5,0.4230769230769231,0.5384615384615384,0.5384615384615384,0.0,0.0,RLDDM_single_learning
16,4,0,observed,0.0,140.4607142857143,0.41904761904761906,0.7451726190476191,17.0,0.4869047619047619,0.41904761904761906,0.41904761904761906,0.0,0.0,RLDDM_single_learning
17,4,0,simulated,1.0,7.0,0.5897435897435898,0.6229354664800679,17.0,0.46153846153846156,0.5897435897435898,0.5897435897435898,0.0,0.0,RLDDM_single_learning
18,4,1,observed,0.0,149.26235741444867,0.4144486692015209,0.6047084917617237,17.0,0.5044359949302915,0.4144486692015209,0.4144486692015209,0.0,0.0,RLDDM_single_learning
19,4,1,simulated,1.0,7.0,0.6410256410256411,0.6003970049418044,17.0,0.5128205128205128,0.6410256410256411,0.6410256410256411,0.0,0.0,RLDDM_single_learning
20,5,0,observed,0.0,140.4607142857143,0.4133928571428571,0.6737116071428572,20.5,0.5178571428571429,0.4133928571428571,0.4133928571428571,0.0,0.0,RLDDM_single_learning
21,5,0,simulated,1.0,7.0,0.6346153846153846,0.6780123895571891,20.5,0.6346153846153846,0.6346153846153846,0.6346153846153846,0.0,0.0,RLDDM_single_learning
22,5,1,observed,0.0,149.26235741444867,0.4211026615969582,0.5962661596958175,20.5,0.5190114068441065,0.4211026615969582,0.4211026615969582,0.0,0.0,RLDDM_single_learning
