,subj_idx,response,split_by,rt,trial,feedback,samp,type
39520,1,0.0,0,0.613,1,0.0,0,observed
39521,1,1.0,1,0.377,1,1.0,0,observed
39522,1,1.0,0,0.575,2,1.0,0,observed
39523,1,1.0,1,0.49,2,0.0,0,observed
39524,1,1.0,0,0.328,3,1.0,0,observed
39525,1,1.0,1,0.432,3,1.0,0,observed
39526,1,1.0,0,0.438,4,0.0,0,observed
39527,1,1.0,1,0.444,4,1.0,0,observed
39528,1,0.0,0,1.23,5,0.0,0,observed
39529,1,1.0,1,0.393,5,1.0,0,observed
39530,1,1.0,0,0.518,6,1.0,0,observed
39531,1,1.0,1,0.466,6,1.0,0,observed
39532,1,1.0,0,0.424,7,1.0,0,observed
39533,1,1.0,1,0.39,7,0.0,0,observed
39534,1,0.0,0,0.448,8,0.0,0,observed
39535,1,1.0,1,0.315,8,1.0,0,observed
39536,1,0.0,0,0.497,9,0.0,0,observed
39537,1,1.0,1,0.285,9,1.0,0,observed
39538,1,0.0,0,0.495,10,1.0,0,observed
39539,1,1.0,1,0.422,10,0.0,0,observed
39540,1,0.0,0,0.381,11,1.0,0,observed
39541,1,1.0,1,0.362,11,1.0,0,observed
39542,1,0.0,0,1.066,12,0.0,0,observed
39543,1,1.0,1,0.374,12,1.0,0,observed
39544,1,1.0,0,0.41,13,0.0,0,observed
39545,1,1.0,1,0.341,13,0.0,0,observed
39546,1,1.0,0,0.343,14,1.0,0,observed
39547,1,1.0,1,0.322,14,0.0,0,observed
39548,1,1.0,0,0.402,15,0.0,0,observed
39549,1,1.0,1,0.392,15,1.0,0,observed
39550,1,0.0,0,1.016,16,0.0,0,observed
39551,1,1.0,1,0.318,16,0.0,0,observed
39552,1,1.0,0,0.401,17,1.0,0,observed
39553,1,1.0,1,0.313,17,0.0,0,observed
39554,1,1.0,0,0.384,18,1.0,0,observed
39555,1,1.0,1,0.249,18,0.0,0,observed
39556,1,1.0,0,0.38,19,0.0,0,observed
39557,1,0.0,1,0.366,19,1.0,0,observed
39558,1,1.0,0,0.398,20,1.0,0,observed
39559,1,0.0,1,0.31,20,1.0,0,observed
39560,1,1.0,0,0.279,21,0.0,0,observed
39561,1,0.0,1,0.576,21,0.0,0,observed
39562,1,1.0,0,0.323,22,1.0,0,observed
39563,1,0.0,1,0.286,22,0.0,0,observed
39564,1,1.0,0,0.351,23,0.0,0,observed
39565,1,0.0,1,0.287,23,0.0,0,observed
39566,1,0.0,0,0.612,24,1.0,0,observed
39567,1,1.0,1,0.38,24,1.0,0,observed
39568,1,0.0,0,0.315,25,0.0,0,observed
39569,1,1.0,1,0.338,25,1.0,0,observed
39570,1,0.0,0,0.539,26,1.0,0,observed
39571,1,1.0,1,0.325,26,1.0,0,observed
39572,1,0.0,0,0.407,27,0.0,0,observed
39573,1,1.0,1,0.259,27,1.0,0,observed
39574,1,0.0,0,0.346,28,0.0,0,observed
39575,1,1.0,1,0.233,28,0.0,0,observed
39576,1,0.0,0,0.495,29,0.0,0,observed
39577,1,1.0,1,0.296,29,1.0,0,observed
39578,1,1.0,0,0.377,30,0.0,0,observed
39579,1,1.0,1,0.359,30,0.0,0,observed
39580,1,1.0,0,0.323,31,1.0,0,observed
39581,1,1.0,1,0.343,31,1.0,0,observed
39582,1,1.0,0,0.456,32,1.0,0,observed
39583,1,1.0,1,0.383,32,1.0,0,observed
39584,1,1.0,0,0.661,33,1.0,0,observed
39585,1,1.0,1,0.432,33,1.0,0,observed
39586,1,1.0,0,0.346,34,0.0,0,observed
39587,1,1.0,1,0.391,34,1.0,0,observed
39588,1,1.0,0,0.379,35,1.0,0,observed
39589,1,1.0,1,0.558,35,1.0,0,observed
39590,1,1.0,0,0.38,36,1.0,0,observed
39591,1,1.0,1,0.291,36,1.0,0,observed
39592,1,1.0,0,0.394,37,1.0,0,observed
39593,1,1.0,1,0.333,37,1.0,0,observed
39594,1,1.0,0,0.466,38,1.0,0,observed
39595,1,1.0,1,0.439,38,1.0,0,observed
39596,1,1.0,0,0.32,39,1.0,0,observed
39597,1,1.0,1,0.397,39,1.0,0,observed
39598,1,1.0,0,0.39,40,1.0,0,observed
39599,1,1.0,1,0.511,40,1.0,0,observed
39600,1,0.0,0,0.322,41,1.0,0,observed
39601,1,0.0,1,0.373,41,0.0,0,observed
39602,1,0.0,0,0.455,42,1.0,0,observed
39603,1,0.0,1,0.404,42,1.0,0,observed
39604,1,0.0,0,0.371,43,0.0,0,observed
39605,1,0.0,1,0.432,43,1.0,0,observed
39606,1,0.0,0,0.368,44,0.0,0,observed
39607,1,0.0,1,0.604,44,1.0,0,observed
39608,1,1.0,0,0.398,45,1.0,0,observed
39609,1,0.0,1,0.521,45,0.0,0,observed
39610,1,1.0,0,0.354,46,0.0,0,observed
39611,1,0.0,1,0.351,46,1.0,0,observed
39612,1,0.0,0,0.822,47,0.0,0,observed
39613,1,0.0,1,0.342,47,0.0,0,observed
39614,1,1.0,0,0.427,48,0.0,0,observed
39615,1,0.0,1,0.353,48,0.0,0,observed
39616,1,0.0,0,0.425,49,0.0,0,observed
39617,1,1.0,1,0.328,49,0.0,0,observed
39618,1,0.0,0,0.448,50,0.0,0,observed
39619,1,1.0,1,0.326,50,1.0,0,observed
39620,1,0.0,0,0.36,51,0.0,0,observed
39621,1,1.0,1,0.34,51,0.0,0,observed
39622,1,1.0,0,0.358,52,0.0,0,observed
39623,1,1.0,1,0.747,52,0.0,0,observed
39624,1,1.0,0,0.423,53,0.0,0,observed
39625,1,0.0,1,0.662,53,1.0,0,observed
39626,1,0.0,0,0.294,54,0.0,0,observed
39627,1,0.0,1,0.402,54,1.0,0,observed
39628,1,0.0,0,0.407,55,0.0,0,observed
39629,1,0.0,1,0.329,55,1.0,0,observed
39630,1,0.0,0,0.636,56,0.0,0,observed
39631,1,0.0,1,0.323,56,0.0,0,observed
39632,1,1.0,0,0.322,57,1.0,0,observed
39633,1,1.0,1,1.052,57,1.0,0,observed
39634,1,1.0,0,0.35,58,1.0,0,observed
39635,1,0.0,1,0.322,58,0.0,0,observed
39636,1,1.0,0,0.458,59,0.0,0,observed
39637,1,0.0,1,1.004,59,1.0,0,observed
39638,1,0.0,0,0.581,60,1.0,0,observed
39639,1,0.0,1,0.352,60,1.0,0,observed
39640,1,0.0,0,0.307,61,0.0,0,observed
39641,1,0.0,1,0.266,61,0.0,0,observed
39642,1,0.0,0,0.432,62,1.0,0,observed
39643,1,1.0,1,0.411,62,1.0,0,observed
39644,1,0.0,0,0.462,63,1.0,0,observed
39645,1,0.0,1,1.196,63,0.0,0,observed
39646,1,0.0,0,0.245,64,1.0,0,observed
39647,1,0.0,1,0.684,64,0.0,0,observed
39648,1,0.0,0,0.494,65,0.0,0,observed
